pine	spruce
comp24865_c0_seq1	comp18507_c0_seq1
comp24867_c0_seq1	comp22277_c0_seq1
comp11003_c0_seq1	comp11120_c1_seq1
comp2486_c1_seq1	comp15662_c0_seq1
comp24870_c0_seq1	comp28724_c0_seq1
comp24871_c0_seq1	comp27998_c0_seq1
comp2487_c0_seq1	comp2939_c0_seq1
comp11004_c0_seq1	comp19997_c0_seq1
comp24886_c0_seq1	comp35721_c0_seq1
comp2488_c0_seq1	comp2091_c1_seq1
comp2488_c1_seq1	comp2091_c2_seq1
comp24892_c0_seq1	comp25964_c0_seq1
comp24899_c0_seq1	comp17121_c0_seq1
comp2489_c1_seq1	comp5819_c0_seq1
comp24905_c0_seq1	comp23796_c0_seq1
comp24909_c0_seq1	comp7654_c1_seq1
comp1009_c0_seq1	comp19987_c0_seq1
comp11005_c0_seq1	comp6877_c0_seq1
comp2490_c0_seq1	comp3109_c0_seq1
comp24910_c0_seq1	comp22636_c0_seq1
comp24911_c0_seq1	comp21176_c0_seq1
comp24919_c1_seq1	comp15231_c0_seq1
comp2491_c2_seq1	comp68675_c0_seq1
comp2492_c0_seq1	comp3092_c0_seq1
comp24933_c4_seq1	comp28943_c1_seq1
comp24936_c0_seq1	comp33163_c1_seq1
comp24946_c0_seq1	comp44786_c0_seq1
comp24954_c0_seq1	comp45625_c0_seq1
comp24955_c0_seq1	comp23139_c0_seq1
comp11007_c0_seq1	comp11655_c0_seq1
comp11008_c0_seq1	comp11685_c0_seq1
comp2497_c0_seq1	comp3261_c0_seq1
comp2498_c0_seq1	comp2215_c0_seq1
comp24991_c0_seq1	comp32191_c0_seq1
comp11009_c0_seq1	comp8402_c0_seq1
comp24992_c0_seq1	comp15421_c0_seq1
comp24995_c0_seq1	comp18329_c0_seq1
comp24997_c0_seq1	comp72089_c0_seq1
comp2499_c0_seq1	comp1911_c0_seq1
comp24_c0_seq1	comp5_c1_seq1
comp25008_c0_seq1	comp31657_c0_seq1
comp2500_c1_seq1	comp4286_c0_seq1
comp25010_c0_seq1	comp21983_c0_seq1
comp25012_c0_seq1	comp26844_c0_seq1
comp25015_c0_seq1	comp24164_c0_seq1
comp25019_c9_seq1	comp39548_c1_seq1
comp2501_c0_seq1	comp2198_c0_seq1
comp25020_c0_seq1	comp23272_c1_seq1
comp25022_c0_seq1	comp26249_c0_seq1
comp2502_c0_seq1	comp2390_c0_seq1
comp25033_c0_seq1	comp15981_c0_seq1
comp11010_c0_seq1	comp15802_c0_seq1
comp25038_c0_seq1	comp12538_c1_seq1
comp25049_c1_seq1	comp30762_c1_seq1
comp2504_c0_seq1	comp4874_c0_seq1
comp25058_c0_seq1	comp31060_c0_seq1
comp25059_c0_seq1	comp32347_c0_seq1
comp2505_c0_seq1	comp3662_c0_seq1
comp25068_c0_seq1	comp53792_c0_seq1
comp25070_c0_seq1	comp27151_c0_seq1
comp100_c0_seq1	comp130_c0_seq1
comp11013_c0_seq1	comp12577_c0_seq1
comp25077_c0_seq1	comp956_c1_seq1
comp25079_c0_seq1	comp6547_c2_seq1
comp25080_c0_seq1	comp19578_c0_seq1
comp11014_c0_seq1	comp8891_c0_seq1
comp25089_c0_seq1	comp22363_c0_seq1
comp25091_c0_seq1	comp25962_c0_seq1
comp25103_c0_seq1	comp74015_c0_seq1
comp25105_c0_seq1	comp26090_c0_seq1
comp2510_c0_seq1	comp2027_c0_seq1
comp2510_c1_seq1	comp14876_c0_seq1
comp25111_c0_seq1	comp24920_c0_seq1
comp25114_c0_seq1	comp24394_c0_seq1
comp25137_c0_seq1	comp36434_c0_seq1
comp2513_c0_seq1	comp1709_c0_seq1
comp110180_c0_seq1	comp3488_c0_seq1
comp25152_c0_seq1	comp10780_c0_seq1
comp2515_c0_seq1	comp1434_c0_seq1
comp25160_c0_seq1	comp34550_c0_seq1
comp25164_c0_seq1	comp23394_c0_seq1
comp25168_c0_seq1	comp33268_c0_seq1
comp25171_c0_seq1	comp24591_c0_seq1
comp11018_c0_seq1	comp8987_c0_seq1
comp25177_c0_seq1	comp34126_c0_seq1
comp2517_c0_seq1	comp25255_c0_seq1
comp25181_c0_seq1	comp21162_c0_seq1
comp25186_c0_seq1	comp14818_c2_seq1
comp25191_c1_seq1	comp47406_c0_seq1
comp11019_c0_seq1	comp23134_c0_seq1
comp25197_c0_seq1	comp26950_c0_seq1
comp25198_c0_seq1	comp48147_c0_seq1
comp2519_c0_seq1	comp2787_c0_seq1
comp25202_c1_seq1	comp27186_c0_seq1
comp2520_c0_seq1	comp4622_c0_seq1
comp25215_c0_seq1	comp18315_c0_seq1
comp25219_c0_seq1	comp32677_c0_seq1
comp11020_c0_seq1	comp11577_c0_seq1
comp25225_c0_seq1	comp13382_c0_seq1
comp25228_c0_seq1	comp38867_c0_seq1
comp25229_c0_seq1	comp47436_c0_seq1
comp2522_c0_seq1	comp4323_c1_seq1
comp2522_c3_seq1	comp15955_c0_seq1
comp10100_c0_seq1	comp15610_c0_seq1
comp25238_c0_seq1	comp75681_c0_seq1
comp2523_c0_seq1	comp7403_c0_seq1
comp25249_c0_seq1	comp13399_c0_seq1
comp2524_c0_seq1	comp2504_c0_seq1
comp2524_c1_seq1	comp48298_c0_seq1
comp25252_c0_seq1	comp27867_c0_seq1
comp25253_c0_seq1	comp30613_c0_seq1
comp11026_c0_seq1	comp6094_c0_seq1
comp2525_c0_seq1	comp2084_c0_seq1
comp25261_c0_seq1	comp23879_c0_seq1
comp25264_c0_seq1	comp32433_c0_seq1
comp25271_c0_seq1	comp25217_c0_seq1
comp11027_c0_seq1	comp10150_c0_seq1
comp2527_c0_seq1	comp2523_c0_seq1
comp2528_c0_seq1	comp3226_c0_seq1
comp2529_c2_seq1	comp12329_c0_seq1
comp252_c1_seq1	comp194_c0_seq1
comp25301_c1_seq1	comp37013_c0_seq1
comp11028_c0_seq1	comp10569_c0_seq1
comp25303_c0_seq1	comp17989_c0_seq1
comp25304_c0_seq1	comp17134_c0_seq1
comp25305_c0_seq1	comp8450_c0_seq1
comp25312_c0_seq1	comp33936_c0_seq1
comp2531_c0_seq1	comp4300_c0_seq1
comp25322_c0_seq1	comp13805_c0_seq1
comp25329_c0_seq1	comp14588_c1_seq1
comp2532_c0_seq1	comp2402_c0_seq1
comp25330_c0_seq1	comp20101_c0_seq1
comp2533_c0_seq1	comp2569_c0_seq1
comp1102_c0_seq1	comp2163_c0_seq1
comp25347_c0_seq1	comp46948_c0_seq1
comp25349_c0_seq1	comp30099_c0_seq1
comp2534_c0_seq1	comp1295_c0_seq1
comp25357_c0_seq1	comp18930_c0_seq1
comp25358_c0_seq1	comp22962_c1_seq1
comp25359_c0_seq1	comp30983_c0_seq1
comp2535_c0_seq1	comp2483_c0_seq1
comp2536_c0_seq1	comp5329_c0_seq1
comp11032_c0_seq1	comp12907_c0_seq1
comp25375_c0_seq1	comp21480_c0_seq1
comp2537_c0_seq1	comp116948_c0_seq1
comp25380_c0_seq1	comp33287_c0_seq1
comp25381_c0_seq1	comp22936_c1_seq1
comp25383_c0_seq1	comp23463_c0_seq1
comp25384_c0_seq1	comp23841_c0_seq1
comp25385_c0_seq1	comp30184_c0_seq1
comp25386_c0_seq1	comp69159_c0_seq1
comp25387_c0_seq1	comp51941_c0_seq1
comp25391_c0_seq1	comp23660_c0_seq1
comp11033_c0_seq1	comp11927_c1_seq1
comp25409_c0_seq1	comp12597_c0_seq1
comp2540_c0_seq1	comp7786_c0_seq1
comp25412_c0_seq1	comp21641_c0_seq1
comp25415_c0_seq1	comp33182_c0_seq1
comp25416_c0_seq1	comp35617_c0_seq1
comp2541_c0_seq1	comp2866_c0_seq1
comp25423_c0_seq1	comp29928_c0_seq1
comp2542_c0_seq1	comp1689_c0_seq1
comp11034_c0_seq1	comp10862_c0_seq1
comp2543_c0_seq1	comp4491_c0_seq1
comp2544_c0_seq1	comp2641_c0_seq1
comp25453_c0_seq1	comp21597_c0_seq1
comp2545_c0_seq1	comp1428_c0_seq1
comp25460_c0_seq1	comp2913_c12_seq1
comp25461_c0_seq1	comp15154_c0_seq1
comp25463_c0_seq1	comp88596_c0_seq1
comp11036_c0_seq1	comp6812_c0_seq1
comp2546_c1_seq1	comp4047_c0_seq1
comp25472_c0_seq1	comp21751_c0_seq1
comp11037_c0_seq1	comp14832_c0_seq1
comp25485_c0_seq1	comp28932_c0_seq1
comp2548_c0_seq1	comp3285_c0_seq1
comp2549_c0_seq1	comp4270_c0_seq1
comp25501_c0_seq1	comp20214_c0_seq1
comp25507_c0_seq1	comp23418_c0_seq1
comp2550_c0_seq1	comp6101_c1_seq1
comp25511_c0_seq1	comp5049_c3_seq1
comp2551_c0_seq1	comp2990_c0_seq1
comp25523_c0_seq1	comp6300_c0_seq1
comp25525_c0_seq1	comp24183_c0_seq1
comp25531_c0_seq1	comp38234_c0_seq1
comp25534_c1_seq1	comp27525_c0_seq1
comp25535_c0_seq1	comp22766_c0_seq1
comp25536_c0_seq1	comp4155_c3_seq1
comp25537_c0_seq1	comp8685_c0_seq1
comp2553_c0_seq1	comp2766_c0_seq1
comp25541_c0_seq1	comp18093_c0_seq1
comp25546_c0_seq1	comp38241_c0_seq1
comp25549_c0_seq1	comp13605_c0_seq1
comp10102_c0_seq1	comp10010_c0_seq1
comp11039_c0_seq1	comp13847_c0_seq1
comp2555_c0_seq1	comp3123_c0_seq1
comp25560_c0_seq1	comp16705_c0_seq1
comp2556_c3_seq1	comp32718_c0_seq1
comp25577_c0_seq1	comp23852_c0_seq1
comp25579_c0_seq1	comp48591_c0_seq1
comp2557_c0_seq1	comp2596_c0_seq1
comp11040_c0_seq1	comp1720_c1_seq1
comp25587_c1_seq1	comp28325_c0_seq1
comp2558_c0_seq1	comp3694_c0_seq1
comp25590_c0_seq1	comp20790_c0_seq1
comp25594_c0_seq1	comp35565_c0_seq1
comp255_c0_seq1	comp913_c0_seq1
comp11041_c0_seq1	comp3865_c1_seq1
comp25601_c0_seq1	comp50810_c0_seq1
comp2560_c2_seq1	comp35737_c0_seq1
comp2560_c3_seq1	comp7070_c0_seq1
comp25613_c0_seq1	comp68162_c0_seq1
comp25616_c0_seq1	comp15295_c0_seq1
comp11042_c0_seq1	comp11135_c0_seq1
comp25617_c0_seq1	comp39652_c0_seq1
comp25619_c0_seq1	comp13680_c1_seq1
comp2562_c0_seq1	comp2807_c0_seq1
comp11043_c0_seq1	comp12053_c0_seq1
comp25636_c0_seq1	comp26710_c0_seq1
comp25637_c0_seq1	comp21186_c0_seq1
comp25641_c0_seq1	comp27009_c0_seq1
comp25643_c3_seq1	comp28677_c0_seq1
comp25646_c0_seq1	comp27037_c0_seq1
comp25650_c0_seq1	comp29664_c0_seq1
comp25651_c0_seq1	comp41795_c0_seq1
comp25654_c0_seq1	comp22923_c0_seq1
comp25655_c0_seq1	comp34195_c0_seq1
comp2565_c0_seq1	comp1433_c0_seq1
comp11044_c0_seq1	comp13961_c0_seq1
comp2566_c0_seq1	comp2242_c0_seq1
comp2567_c0_seq1	comp4506_c0_seq1
comp11045_c0_seq1	comp12290_c0_seq1
comp25683_c0_seq1	comp44778_c0_seq1
comp25687_c0_seq1	comp14439_c0_seq1
comp2568_c0_seq1	comp1461_c2_seq1
comp25690_c0_seq1	comp742_c0_seq1
comp25691_c0_seq1	comp20256_c1_seq1
comp25692_c0_seq1	comp27852_c0_seq1
comp25695_c0_seq1	comp42265_c0_seq1
comp2569_c0_seq1	comp1019_c0_seq1
comp11046_c0_seq1	comp10890_c0_seq1
comp256_c0_seq1	comp240_c0_seq1
comp2570_c0_seq1	comp9647_c0_seq1
comp25716_c0_seq1	comp74345_c0_seq1
comp25719_c0_seq1	comp18423_c0_seq1
comp10103_c0_seq1	comp13924_c0_seq1
comp2571_c0_seq1	comp4410_c0_seq1
comp25726_c0_seq1	comp3770_c1_seq1
comp2572_c0_seq1	comp4007_c0_seq1
comp25734_c0_seq1	comp12831_c1_seq1
comp25738_c0_seq1	comp29872_c0_seq1
comp2573_c0_seq1	comp15235_c0_seq1
comp25747_c0_seq1	comp14978_c0_seq1
comp25752_c0_seq1	comp58847_c0_seq1
comp2575_c0_seq1	comp2094_c0_seq1
comp25761_c0_seq1	comp15771_c0_seq1
comp25771_c0_seq1	comp17313_c0_seq1
comp25772_c0_seq1	comp18928_c0_seq1
comp25776_c0_seq1	comp1053_c0_seq1
comp2577_c0_seq1	comp3539_c0_seq1
comp25780_c0_seq1	comp36605_c0_seq1
comp25781_c0_seq1	comp7076_c0_seq1
comp25787_c0_seq1	comp28171_c0_seq1
comp2578_c0_seq1	comp3217_c0_seq1
comp2579_c0_seq1	comp2214_c0_seq1
comp11050_c0_seq1	comp17907_c0_seq1
comp257_c0_seq1	comp299_c0_seq1
comp25804_c0_seq1	comp1085_c17_seq1
comp2580_c0_seq1	comp2070_c0_seq1
comp25811_c0_seq1	comp30860_c0_seq1
comp11051_c0_seq1	comp14149_c0_seq1
comp25835_c0_seq1	comp28670_c0_seq1
comp2583_c0_seq1	comp2660_c0_seq1
comp25840_c0_seq1	comp26376_c1_seq1
comp25849_c0_seq1	comp13209_c0_seq1
comp11054_c0_seq1	comp28352_c0_seq1
comp2584_c0_seq1	comp5687_c0_seq1
comp25855_c2_seq1	comp91121_c0_seq1
comp25857_c0_seq1	comp39878_c0_seq1
comp25860_c0_seq1	comp36589_c0_seq1
comp11055_c0_seq1	comp3935_c2_seq1
comp25863_c0_seq1	comp18709_c0_seq1
comp25864_c0_seq1	comp21914_c0_seq1
comp25869_c0_seq1	comp25802_c0_seq1
comp25870_c0_seq1	comp28689_c0_seq1
comp10009_c0_seq1	comp10190_c0_seq1
comp11056_c0_seq1	comp13466_c0_seq1
comp25872_c0_seq1	comp18548_c1_seq1
comp25879_c0_seq1	comp22956_c0_seq1
comp2587_c0_seq1	comp1366_c0_seq1
comp25885_c0_seq1	comp35600_c0_seq1
comp11057_c0_seq1	comp12800_c0_seq1
comp2588_c0_seq1	comp2415_c0_seq1
comp25891_c0_seq1	comp21929_c0_seq1
comp25896_c0_seq1	comp18384_c0_seq1
comp25903_c0_seq1	comp18694_c0_seq1
comp25908_c0_seq1	comp27136_c0_seq1
comp2590_c0_seq1	comp2257_c0_seq1
comp110594_c0_seq1	comp105341_c0_seq1
comp25915_c0_seq1	comp72195_c0_seq1
comp25922_c0_seq1	comp17555_c0_seq1
comp25923_c0_seq1	comp25376_c0_seq1
comp25924_c2_seq1	comp34348_c1_seq1
comp2592_c1_seq1	comp2694_c0_seq1
comp25934_c1_seq1	comp19641_c2_seq1
comp25936_c0_seq1	comp27306_c0_seq1
comp25938_c0_seq1	comp38753_c0_seq1
comp25939_c0_seq1	comp9501_c0_seq1
comp2593_c0_seq1	comp2711_c0_seq1
comp25944_c0_seq1	comp55092_c0_seq1
comp2594_c0_seq1	comp3422_c0_seq1
comp25950_c0_seq1	comp18027_c0_seq1
comp25955_c0_seq1	comp19931_c0_seq1
comp2595_c0_seq1	comp2909_c0_seq1
comp25962_c0_seq1	comp19752_c0_seq1
comp25964_c0_seq1	comp42802_c0_seq1
comp25966_c0_seq1	comp36014_c0_seq1
comp25969_c0_seq1	comp39088_c0_seq1
comp2596_c0_seq1	comp3167_c2_seq1
comp25970_c0_seq1	comp2122_c1_seq1
comp25974_c0_seq1	comp24276_c0_seq1
comp2597_c0_seq1	comp7150_c0_seq1
comp11060_c1_seq1	comp8280_c0_seq1
comp25981_c0_seq1	comp22594_c0_seq1
comp25983_c0_seq1	comp22369_c2_seq1
comp2598_c0_seq1	comp2542_c0_seq1
comp25992_c0_seq1	comp21070_c0_seq1
comp25995_c0_seq1	comp18444_c1_seq1
comp25998_c0_seq1	comp33175_c0_seq1
comp25999_c0_seq1	comp130294_c0_seq1
comp259_c0_seq1	comp1031_c0_seq1
comp26001_c0_seq1	comp40325_c0_seq1
comp11062_c0_seq1	comp20688_c0_seq1
comp26013_c0_seq1	comp29648_c0_seq1
comp26022_c0_seq1	comp31304_c0_seq1
comp11063_c0_seq1	comp11407_c0_seq1
comp2602_c0_seq1	comp2886_c0_seq1
comp26041_c0_seq1	comp26273_c1_seq1
comp26045_c0_seq1	comp32859_c0_seq1
comp26049_c0_seq1	comp22161_c0_seq1
comp26066_c0_seq1	comp57362_c1_seq1
comp26067_c0_seq1	comp41595_c0_seq1
comp26068_c0_seq1	comp34894_c0_seq1
comp26072_c0_seq1	comp21266_c1_seq1
comp26073_c0_seq1	comp32337_c0_seq1
comp2607_c0_seq1	comp2411_c1_seq1
comp26084_c0_seq1	comp46257_c0_seq1
comp26087_c1_seq1	comp35173_c1_seq1
comp2608_c1_seq1	comp3590_c2_seq1
comp26092_c0_seq1	comp18014_c1_seq1
comp11065_c0_seq1	comp8608_c0_seq1
comp26096_c0_seq1	comp17695_c0_seq1
comp260_c0_seq1	comp1497_c0_seq1
comp2610_c0_seq1	comp653_c0_seq1
comp11066_c0_seq1	comp8342_c0_seq1
comp26114_c0_seq1	comp15225_c0_seq1
comp26116_c0_seq1	comp17419_c0_seq1
comp26120_c0_seq1	comp25344_c0_seq1
comp26121_c0_seq1	comp27570_c0_seq1
comp26122_c0_seq1	comp20004_c0_seq1
comp11068_c0_seq1	comp6747_c1_seq1
comp26129_c0_seq1	comp12680_c0_seq1
comp26130_c0_seq1	comp38877_c0_seq1
comp26135_c0_seq1	comp68265_c0_seq1
comp2613_c0_seq1	comp3675_c0_seq1
comp26143_c0_seq1	comp599_c0_seq1
comp26144_c0_seq1	comp26155_c0_seq1
comp26148_c0_seq1	comp2641_c1_seq1
comp2614_c0_seq1	comp3335_c0_seq1
comp26151_c0_seq1	comp29622_c1_seq1
comp26153_c0_seq1	comp9832_c2_seq1
comp1106_c0_seq1	comp939_c0_seq1
comp26171_c0_seq1	comp36834_c0_seq1
comp26177_c0_seq1	comp19644_c0_seq1
comp2617_c0_seq1	comp2856_c0_seq1
comp26180_c0_seq1	comp21759_c0_seq1
comp2618_c0_seq1	comp655_c0_seq1
comp26195_c0_seq1	comp26225_c0_seq1
comp10105_c0_seq1	comp8041_c0_seq1
comp2619_c1_seq1	comp1641_c0_seq1
comp26203_c0_seq1	comp24201_c1_seq1
comp11072_c0_seq1	comp1342_c1_seq1
comp2621_c0_seq1	comp5843_c0_seq1
comp26220_c0_seq1	comp23816_c3_seq1
comp26223_c0_seq1	comp7046_c0_seq1
comp26227_c0_seq1	comp32259_c0_seq1
comp2622_c0_seq1	comp2704_c0_seq1
comp26236_c0_seq1	comp19290_c0_seq1
comp26237_c0_seq1	comp54037_c0_seq1
comp26239_c0_seq1	comp52214_c0_seq1
comp2623_c0_seq1	comp2267_c0_seq1
comp26247_c0_seq1	comp23613_c0_seq1
comp11074_c0_seq1	comp17107_c1_seq1
comp2624_c0_seq1	comp1480_c0_seq1
comp26256_c0_seq1	comp24077_c0_seq1
comp26259_c0_seq1	comp27333_c0_seq1
comp2625_c0_seq1	comp2079_c0_seq1
comp2626_c1_seq1	comp549_c1_seq1
comp26270_c0_seq1	comp25516_c0_seq1
comp11075_c0_seq1	comp9213_c1_seq1
comp26272_c0_seq1	comp22626_c0_seq1
comp26275_c0_seq1	comp24845_c0_seq1
comp26279_c0_seq1	comp32411_c0_seq1
comp2627_c0_seq1	comp9121_c0_seq1
comp26286_c0_seq1	comp46136_c0_seq1
comp26289_c0_seq1	comp16021_c0_seq1
comp2628_c1_seq1	comp3164_c0_seq1
comp26296_c0_seq1	comp25592_c0_seq1
comp11076_c1_seq1	comp8786_c0_seq1
comp26298_c0_seq1	comp29194_c0_seq1
comp26299_c0_seq1	comp30369_c1_seq1
comp262_c0_seq1	comp116_c0_seq1
comp26303_c0_seq1	comp23070_c1_seq1
comp2630_c0_seq1	comp4549_c0_seq1
comp26314_c0_seq1	comp32064_c0_seq1
comp26324_c0_seq1	comp14850_c0_seq1
comp2632_c0_seq1	comp1038_c0_seq1
comp26335_c0_seq1	comp43681_c0_seq1
comp26338_c0_seq1	comp93459_c0_seq1
comp2633_c0_seq1	comp4904_c2_seq1
comp26344_c0_seq1	comp22567_c0_seq1
comp26345_c0_seq1	comp9193_c0_seq1
comp11079_c0_seq1	comp16519_c0_seq1
comp26349_c0_seq1	comp12784_c0_seq1
comp26350_c0_seq1	comp33281_c0_seq1
comp26361_c0_seq1	comp29922_c0_seq1
comp26365_c0_seq1	comp23917_c0_seq1
comp2636_c0_seq1	comp2354_c0_seq1
comp26371_c0_seq1	comp27514_c0_seq1
comp26373_c0_seq1	comp36618_c0_seq1
comp26377_c0_seq1	comp19181_c0_seq1
comp11080_c0_seq1	comp9106_c0_seq1
comp2637_c0_seq1	comp1149_c0_seq1
comp2638_c0_seq1	comp1257_c0_seq1
comp2639_c0_seq1	comp2688_c0_seq1
comp26404_c0_seq1	comp16630_c4_seq1
comp2640_c0_seq1	comp2077_c0_seq1
comp26410_c0_seq1	comp39172_c0_seq1
comp26412_c0_seq1	comp898_c1_seq1
comp11082_c0_seq1	comp7139_c0_seq1
comp2641_c0_seq1	comp3190_c0_seq1
comp26421_c0_seq1	comp16683_c0_seq1
comp26422_c0_seq1	comp31829_c1_seq1
comp26426_c0_seq1	comp33121_c0_seq1
comp2642_c0_seq1	comp4096_c0_seq1
comp26435_c0_seq1	comp38414_c0_seq1
comp26449_c0_seq1	comp68198_c0_seq1
comp2644_c0_seq1	comp6550_c0_seq1
comp11084_c0_seq1	comp1397_c0_seq1
comp2645_c0_seq1	comp1897_c0_seq1
comp26468_c0_seq1	comp24878_c0_seq1
comp11085_c0_seq1	comp13326_c0_seq1
comp26471_c0_seq1	comp15699_c0_seq1
comp26473_c0_seq1	comp13304_c1_seq1
comp26487_c0_seq1	comp19662_c0_seq1
comp2648_c0_seq1	comp5015_c0_seq1
comp26490_c0_seq1	comp29804_c0_seq1
comp26496_c0_seq1	comp12811_c0_seq1
comp26514_c0_seq1	comp19927_c0_seq1
comp2652_c1_seq1	comp3222_c0_seq1
comp26530_c0_seq1	comp30701_c0_seq1
comp11089_c0_seq1	comp11761_c0_seq1
comp2653_c0_seq1	comp6664_c0_seq1
comp2653_c1_seq1	comp6664_c1_seq1
comp10106_c0_seq1	comp11548_c0_seq1
comp1108_c0_seq1	comp1206_c0_seq1
comp2654_c1_seq1	comp7874_c0_seq1
comp26552_c0_seq1	comp26600_c0_seq1
comp26553_c0_seq1	comp50325_c0_seq1
comp26560_c0_seq1	comp36354_c0_seq1
comp26568_c0_seq1	comp33569_c0_seq1
comp26569_c0_seq1	comp43353_c0_seq1
comp2656_c0_seq1	comp5475_c0_seq1
comp26573_c0_seq1	comp14980_c0_seq1
comp26578_c0_seq1	comp4499_c0_seq1
comp11091_c0_seq1	comp12539_c0_seq1
comp2657_c0_seq1	comp4353_c0_seq1
comp26580_c0_seq1	comp28643_c0_seq1
comp26585_c0_seq1	comp18383_c0_seq1
comp26587_c0_seq1	comp24254_c0_seq1
comp26589_c0_seq1	comp29161_c0_seq1
comp2658_c0_seq1	comp7103_c0_seq1
comp26592_c0_seq1	comp32029_c0_seq1
comp26596_c0_seq1	comp25155_c1_seq1
comp2659_c0_seq1	comp13_c0_seq1
comp265_c0_seq1	comp681_c1_seq1
comp26601_c0_seq1	comp32793_c0_seq1
comp26616_c0_seq1	comp20678_c0_seq1
comp11095_c0_seq1	comp15586_c0_seq1
comp2661_c0_seq1	comp3529_c0_seq1
comp2662_c0_seq1	comp5077_c1_seq1
comp26635_c0_seq1	comp51_c0_seq1
comp11096_c0_seq1	comp14249_c0_seq1
comp2663_c0_seq1	comp7967_c0_seq1
comp2664_c0_seq1	comp1322_c0_seq1
comp26655_c0_seq1	comp28939_c1_seq1
comp26659_c0_seq1	comp32352_c0_seq1
comp2665_c0_seq1	comp12342_c0_seq1
comp2665_c1_seq1	comp3622_c0_seq1
comp26663_c0_seq1	comp42456_c0_seq1
comp26664_c0_seq1	comp32273_c0_seq1
comp2666_c0_seq1	comp1766_c0_seq1
comp11098_c1_seq1	comp11447_c0_seq1
comp26671_c0_seq1	comp15754_c0_seq1
comp26675_c0_seq1	comp24415_c1_seq1
comp26678_c0_seq1	comp31182_c0_seq1
comp2667_c0_seq1	comp2194_c0_seq1
comp26684_c0_seq1	comp32945_c0_seq1
comp26686_c0_seq1	comp44420_c0_seq1
comp2668_c1_seq1	comp4618_c0_seq1
comp26692_c0_seq1	comp40035_c0_seq1
comp26697_c0_seq1	comp49574_c0_seq1
comp26699_c0_seq1	comp43315_c0_seq1
comp2669_c0_seq1	comp1323_c0_seq1
comp266_c0_seq1	comp386_c0_seq1
comp26700_c0_seq1	comp28151_c0_seq1
comp2670_c0_seq1	comp2669_c0_seq1
comp2671_c0_seq1	comp6118_c0_seq1
comp26726_c0_seq1	comp35464_c0_seq1
comp26727_c0_seq1	comp38451_c0_seq1
comp10107_c0_seq1	comp8089_c0_seq1
comp26748_c0_seq1	comp48524_c0_seq1
comp26751_c0_seq1	comp6780_c0_seq1
comp2675_c0_seq1	comp3045_c0_seq1
comp26761_c0_seq1	comp45985_c0_seq1
comp26762_c0_seq1	comp10756_c0_seq1
comp26767_c0_seq1	comp34884_c0_seq1
comp26769_c0_seq1	comp37256_c0_seq1
comp2679_c0_seq1	comp1976_c0_seq1
comp267_c0_seq1	comp152_c0_seq1
comp26809_c1_seq1	comp26984_c0_seq1
comp2680_c0_seq1	comp4151_c0_seq1
comp11101_c0_seq1	comp9939_c1_seq1
comp26824_c0_seq1	comp46478_c0_seq1
comp26827_c0_seq1	comp31099_c0_seq1
comp2682_c0_seq1	comp1847_c0_seq1
comp26831_c0_seq1	comp28261_c0_seq1
comp26841_c0_seq1	comp30391_c1_seq1
comp11102_c0_seq1	comp12060_c0_seq1
comp2684_c0_seq1	comp4684_c0_seq1
comp2685_c0_seq1	comp1286_c0_seq1
comp11103_c0_seq1	comp13315_c0_seq1
comp26868_c0_seq1	comp37772_c0_seq1
comp2686_c0_seq1	comp2562_c0_seq1
comp26870_c0_seq1	comp10358_c0_seq1
comp26874_c0_seq1	comp29535_c1_seq1
comp11104_c0_seq1	comp4615_c0_seq1
comp2687_c0_seq1	comp4115_c0_seq1
comp26882_c0_seq1	comp22449_c0_seq1
comp26888_c0_seq1	comp19648_c1_seq1
comp26894_c0_seq1	comp18117_c0_seq1
comp26903_c0_seq1	comp24571_c1_seq1
comp2690_c0_seq1	comp1667_c0_seq1
comp26914_c0_seq1	comp33050_c0_seq1
comp26919_c0_seq1	comp23734_c0_seq1
comp26928_c0_seq1	comp21717_c0_seq1
comp2692_c0_seq1	comp2075_c0_seq1
comp26930_c0_seq1	comp39308_c0_seq1
comp11106_c0_seq1	comp10881_c0_seq1
comp26935_c0_seq1	comp33178_c0_seq1
comp26943_c0_seq1	comp3183_c0_seq1
comp26948_c0_seq1	comp70_c1_seq1
comp2694_c0_seq1	comp1260_c1_seq1
comp26952_c0_seq1	comp29346_c0_seq1
comp26954_c0_seq1	comp32033_c0_seq1
comp26963_c0_seq1	comp11294_c1_seq1
comp11107_c1_seq1	comp14057_c0_seq1
comp2696_c0_seq1	comp3342_c0_seq1
comp26970_c0_seq1	comp34595_c0_seq1
comp26971_c0_seq1	comp19310_c0_seq1
comp26972_c0_seq1	comp19899_c0_seq1
comp26973_c0_seq1	comp41509_c0_seq1
comp26977_c0_seq1	comp27033_c0_seq1
comp26979_c0_seq1	comp21263_c0_seq1
comp11109_c0_seq1	comp9296_c0_seq1
comp2697_c0_seq1	comp5543_c0_seq1
comp26984_c0_seq1	comp17469_c0_seq1
comp26991_c4_seq1	comp73811_c0_seq1
comp11109_c1_seq1	comp25889_c0_seq1
comp26995_c0_seq1	comp16403_c0_seq1
comp2699_c0_seq1	comp1513_c0_seq1
comp269_c0_seq1	comp290_c0_seq1
comp27004_c0_seq1	comp31005_c0_seq1
comp2700_c0_seq1	comp1431_c0_seq1
